insert.01 insert
hold.01 hold
assemble.02 assemble
stop.01 stop
change.01 change
place.01 place
put.01 place
see.01 measure
hit.02 hit
hit.01 hit
detect.01 measure
crash.01 hit
measure.01 measure
open.01 open
close.01 close
apply.02 use
release.01 open
go.01 move
kill.01 hit
keep.04 hold
shove.01 hit
move.01 move
turn.01 rotate
use.01 use
take.01 pick
pick.01 pick
scrow.01 screw
run.01 run
push.01 hit
calibrate.01 calibrate
restart.01 restart
rerun.01 restart
grasp.01 close
find.01 locate
rotate.01 rotate
push.02 hit
destroy.01 hit
tilt.01 hit
sense.01 measure
pick.04 pick
search.01 search
approach.01 approach
go.10 move
bear.02 bear
locate.01 locate
locate.02 locate
retract.01 retract
utilize.01 use
